trussardi-sound-of-donna;Trussardi Sound of Donna;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.50468.2x.avif;;Qadın;20.00;30.00;50.00;Trussardi;;;;;
bare-rose;Bare Rose;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.83716.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
bare-vanilla;Bare Vanilla;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.56836.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
bombshell-beach;Bombshell Beach;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.66513.2x.avif;;Qadın;25.00;45.00;70.00;Victoria's Secret;;;;;
bombshell-glamour;Bombshell Glamour;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.87707.2x.avif;;Qadın;25.00;45.00;70.00;Victoria's Secret;;;;;
bombshell-wild-flower;Bombshell Wildflower;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.53337.2x.avif;;Qadın;25.00;45.00;70.00;Victoria's Secret;;;;;
lavender-vanilla-relax;Lavender & Vanilla Relax;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.70974.2x.avif;;Qadın;25.00;45.00;70.00;Victoria's Secret;;;;;
love-is-heavenly;Love is Heavenly;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.14931.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
very-sexy;Very Sexy;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.51520.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
xo;Xo;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.35869.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
tease;Tease;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47870.2x.avif;;Qadın;20.00;30.00;50.00;Victoria's Secret;;;;;
donna-born-in-rome-intense;Donna Born in Rome Intense;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.78739.2x.avif;;Qadın;25.00;45.00;70.00;Valentino;;;;;
yellow-diamond;Yellow Diamond;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.13064.2x.avif;;Qadın;20.00;30.00;50.00;Versace;;;;;
bengal;Bengal;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.80553.2x.avif;;Unisex;30.00;55.00;90.00;Vertus;;;;;
flowerbomb-tiger-lily;Flowerbomb Tiger Lily;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88986.2x.avif;;Qadın;25.00;45.00;70.00;Viktor&Rolf;;;;;
dama-bianca;Dama Bianca;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.15555.2x.avif;;Qadın;30.00;55.00;90.00;Xerjoff;;;;;
bouqet-ideale;Bouqet Ideale;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.11800.2x.avif;;Qadın;30.00;55.00;90.00;Xerjoff;;;;;
fiore-dulivo;Fiore d'Ulivo;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.6311.2x.avif;;Qadın;25.00;45.00;70.00;Xerjoff;;;;;
jtc-400;JTC 400;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.52181.2x.avif;;Unisex;25.00;45.00;70.00;Xerjoff;;;;;
torino23;Torino23;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.87970.2x.avif;;Unisex;25.00;45.00;70.00;Xerjoff;;;;;
jumpsuit;Jumpsuit;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.60082.2x.avif;;Unisex;25.00;45.00;70.00;YSL;;;;;
libre-flowers-flame;Libre Flowers & Flames;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.95623.2x.avif;;Qadın;25.00;45.00;70.00;YSL;;;;;
noble-leather;Noble Leather;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.18371.2x.avif;;Unisex;25.00;45.00;70.00;YSL;;;;;
y-elixir;Y Elixir;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.90024.2x.avif;;Kişi;25.00;45.00;70.00;YSL;;;;;
y-le-parfum;Y Le Parfum;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.64718.2x.avif;;Kişi;25.00;45.00;70.00;YSL;;;;;
caban;Caban;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.32267.2x.avif;;Unisex;25.00;45.00;70.00;YSL;;;;;
hypnotic-vanilla;Hypnotic Vanilla;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.85038.2x.avif;;Unisex;15.00;30.00;50.00;Zara;;;;;
starlight-vanilla;Starlight Vanilla;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.85040.2x.avif;;Unisex;15.00;30.00;50.00;Zara;;;;;
supreme-vanilla;Supreme Vanilla;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.85039.2x.avif;;Unisex;15.00;30.00;50.00;Zara;;;;;
the-muse;The Muse;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.60665.2x.avif;;Qadın;25.00;45.00;70.00;Zarkoperfume;;;;;
vetiver-lemon-bergamot;Vetiver & Lemon, Bergamot;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.65055.2x.avif;;Unisex;25.00;45.00;70.00;Zielinski & Rozen;;;;;
vanilla-blend;Vanilla Blend;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.65069.2x.avif;;Unisex;25.00;45.00;70.00;Zielinski & Rozen;;;;;
oakmoss-amber;Oakmoss & Amber;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.65057.2x.avif;;Unisex;25.00;45.00;70.00;Zielinski & Rozen;;;;;
take-me-to-the-moon;Take Me To The Moon;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.32602.2x.avif;;Qadın;20.00;30.00;50.00;Korloff;;;;;
sadonaso;Sadonaso;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.80076.2x.avif;;Unisex;38.00;70.00;110.00;Nasomatto;;;;;
marrakesh-in-a-bottle-orange-blossom-24;Marrakesh in a Bottle Orange Blossom | 24;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.94203.2x.avif;;Qadın;25.00;45.00;70.00;Kayali;;;;;
bottled-oud-saffron;Bottled Oud Saffron;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.53338.2x.avif;;Kişi;20.00;30.00;50.00;Hugo Boss;;;;;
