id,slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
251,empyr,Empyr,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Le-Gemme-Empyr-Bvlgari.jpg,,Kişi,38.00,70.00,110.00,Bvlgari,zəncəfil,zəncəfil,"labdanum, səndəl",https://www.etirsah.com/az/product/251,Stokda Var
2122,le-male,Le Male,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Le-Male-Jean-Paul-Gaultier.jpg,,Kişi,20.00,35.00,55.00,Jean Paul Gaultier,"berqamot, hil, lavanda, nanə, yovşan-artemisia","darçın, portağal-çiçəyi, zirə","sidr, səndəl, tonka-lobyası, vanil, ənbər",https://www.etirsah.com/az/product/2122,Stokda Var
2566,libre-labsolu-platine,Libre L'Absolu Platine,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Libre-L%27Absolu-Platine-Yves-Saint-Laurent.jpg,,Qadın,25.00,45.00,70.00,YSL,"aldehidlər, berqamot, naringi-mandarin","lavanda, portağal-çiçəyi, mavi-lavanda","vanil, ənbər",https://www.etirsah.com/az/product/2566,Stokda Var
2079,light-blue-summer-vibes,Light Blue Summer Vibes,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Light-Blue-Summer-Vibes.jpg,,Qadın,20.00,35.00,55.00,Dolce&Gabbana,calabrian-berqamotu,şaftalı,sidr,https://www.etirsah.com/az/product/2079,Stokda Var
189,little-italy,Little Italy,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Little-Italy-Bond-No-9.jpg,,Unisex,25.00,45.00,70.00,Bond No.9,"naringi-mandarin, qreyfrut, klementin",neroli,müşk,https://www.etirsah.com/az/product/189,Stokda Var
172,love-love-love,Love Love Love,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Love-Love-Love-Bath-and-Body-Works.jpg,,Qadın,15.00,25.00,35.00,Bath & Body Works,"armud, gavalı, yabanı-giləmeyvələr","freziya, pion, inciçiçəyi","ağac-notları, müşk",https://www.etirsah.com/az/product/172,Stokda Var
461,love-story,Love Story,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Love-Story-Chlo%C3%A9.jpg,,Qadın,15.00,25.00,35.00,Chloé,"armud, berqamot, limon, neroli, qreyfrut","portağal-çiçəyi, qızılgül, şaftalı, stefanotis","müşk, paçuli, sidr, kaşmir-ağacı",https://www.etirsah.com/az/product/461,Stokda Var
462,love-story,Love Story,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Love-Story-Chlo%C3%A9.jpg,,Qadın,20.00,35.00,55.00,Chloé,"armud, berqamot, limon, neroli, qreyfrut","portağal-çiçəyi, qızılgül, şaftalı, stefanotis","müşk, paçuli, sidr, kaşmir-ağacı",https://www.etirsah.com/az/product/462,Stokda Var
82,lovely,Lovely,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Lovely.jpg,,Unisex,15.00,25.00,35.00,Al Rehab,sitrus,çiçək-notları,ağ-müşk,https://www.etirsah.com/az/product/82,Stokda Var
137,lucky-wish,Lucky Wish,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Lucky-Wish-Anna-Sui-for-women.jpg,,Qadın,20.00,35.00,55.00,Anna Suı,"buzlu-limon, pomelo, tanqerin","freziya, orxideya, portağal-çiçəyi, bambuk","müşk, səndəl, ənbər",https://www.etirsah.com/az/product/137,Stokda Var
2506,lv-lovers,LV Lovers,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LV-Lovers-Louis-Vuitton.jpg,,Kişi,25.00,45.00,70.00,Louis Vuitton,"berqamot, qalbanum","zəncəfil, günəş-notları","sidr, səndəl",https://www.etirsah.com/az/product/2506,Stokda Var
