slug,png_url,status
"guidance-46","https://perfoumer-cdn.vercel.app/perfumes/guidance-46.png","404"
"hibiscus-mahajad","https://perfoumer-cdn.vercel.app/perfumes/hibiscus-mahajad.png","404"
"homme-anniversary","https://perfoumer-cdn.vercel.app/perfumes/homme-anniversary.png","404"
"hope","https://perfoumer-cdn.vercel.app/perfumes/hope.png","404"
"hundred-silent-ways","https://perfoumer-cdn.vercel.app/perfumes/hundred-silent-ways.png","404"
"hypnotic-vanilla","https://perfoumer-cdn.vercel.app/perfumes/hypnotic-vanilla.png","404"
"ii-padrino","https://perfoumer-cdn.vercel.app/perfumes/ii-padrino.png","404"
"ilba","https://perfoumer-cdn.vercel.app/perfumes/ilba.png","404"
"ilusione","https://perfoumer-cdn.vercel.app/perfumes/ilusione.png","404"
"impadia","https://perfoumer-cdn.vercel.app/perfumes/impadia.png","404"
"incense-oud","https://perfoumer-cdn.vercel.app/perfumes/incense-oud.png","404"
"invictus-victory-elixir","https://perfoumer-cdn.vercel.app/perfumes/invictus-victory-elixir.png","404"
"iris-poudre","https://perfoumer-cdn.vercel.app/perfumes/iris-poudre.png","404"
"irrestible-very-flower","https://perfoumer-cdn.vercel.app/perfumes/irrestible-very-flower.png","404"
"jtc-400","https://perfoumer-cdn.vercel.app/perfumes/jtc-400.png","404"
"jumpsuit","https://perfoumer-cdn.vercel.app/perfumes/jumpsuit.png","404"
"kirke-overdose","https://perfoumer-cdn.vercel.app/perfumes/kirke-overdose.png","404"
"kurky","https://perfoumer-cdn.vercel.app/perfumes/kurky.png","404"
"la-belle-paradise-garden","https://perfoumer-cdn.vercel.app/perfumes/la-belle-paradise-garden.png","404"
"la-bomba","https://perfoumer-cdn.vercel.app/perfumes/la-bomba.png","404"
"la-vie-est-belle-iris-absolu","https://perfoumer-cdn.vercel.app/perfumes/la-vie-est-belle-iris-absolu.png","404"
"lavender-vanilla-relax","https://perfoumer-cdn.vercel.app/perfumes/lavender-vanilla-relax.png","404"
"le-jour-se-leve","https://perfoumer-cdn.vercel.app/perfumes/le-jour-se-leve.png","404"
"le-parfum-in-white","https://perfoumer-cdn.vercel.app/perfumes/le-parfum-in-white.png","404"
"lheure-verte","https://perfoumer-cdn.vercel.app/perfumes/lheure-verte.png","404"
"libre-flowers-flame","https://perfoumer-cdn.vercel.app/perfumes/libre-flowers-flame.png","404"
"libre-vanille-couture","https://perfoumer-cdn.vercel.app/perfumes/libre-vanille-couture.png","404"
"linderdit-tubereuse-noire","https://perfoumer-cdn.vercel.app/perfumes/linderdit-tubereuse-noire.png","404"
"liquid-love","https://perfoumer-cdn.vercel.app/perfumes/liquid-love.png","404"
"lost-in-paris","https://perfoumer-cdn.vercel.app/perfumes/lost-in-paris.png","404"
"love-by-kilian-amber-and-oud-special-blend-2023","https://perfoumer-cdn.vercel.app/perfumes/love-by-kilian-amber-and-oud-special-blend-2023.png","404"
"love-is-heavenly","https://perfoumer-cdn.vercel.app/perfumes/love-is-heavenly.png","404"
"madison-avenue","https://perfoumer-cdn.vercel.app/perfumes/madison-avenue.png","404"
"maldives-in-a-bottle-ylang-coco-20","https://perfoumer-cdn.vercel.app/perfumes/maldives-in-a-bottle-ylang-coco-20.png","404"
"marrakesh-in-a-bottle-orange-blossom-24","https://perfoumer-cdn.vercel.app/perfumes/marrakesh-in-a-bottle-orange-blossom-24.png","404"
"maui-in-a-bottle-sweet-banana-37","https://perfoumer-cdn.vercel.app/perfumes/maui-in-a-bottle-sweet-banana-37.png","404"
"midnight-sex-rabanne","https://perfoumer-cdn.vercel.app/perfumes/midnight-sex-rabanne.png","404"
"musk-12","https://perfoumer-cdn.vercel.app/perfumes/musk-12.png","404"
"my-burberry-black","https://perfoumer-cdn.vercel.app/perfumes/my-burberry-black.png","404"
"my-burberry-blush","https://perfoumer-cdn.vercel.app/perfumes/my-burberry-blush.png","404"
"my-way-nectar","https://perfoumer-cdn.vercel.app/perfumes/my-way-nectar.png","404"
"my-way-ylang","https://perfoumer-cdn.vercel.app/perfumes/my-way-ylang.png","404"
"myriad","https://perfoumer-cdn.vercel.app/perfumes/myriad.png","404"
"narciso-radiante","https://perfoumer-cdn.vercel.app/perfumes/narciso-radiante.png","404"
"narciso=eau-neroli-ambree","https://perfoumer-cdn.vercel.app/perfumes/narciso%3Deau-neroli-ambree.png","404"
"newcleus","https://perfoumer-cdn.vercel.app/perfumes/newcleus.png","404"
"nice-bergamote","https://perfoumer-cdn.vercel.app/perfumes/nice-bergamote.png","404"
"no-7-patchouli-oud-vanilla","https://perfoumer-cdn.vercel.app/perfumes/no-7-patchouli-oud-vanilla.png","404"
"noble-leather","https://perfoumer-cdn.vercel.app/perfumes/noble-leather.png","404"
"noir-kogane","https://perfoumer-cdn.vercel.app/perfumes/noir-kogane.png","404"
"nomade-nuit-degypte","https://perfoumer-cdn.vercel.app/perfumes/nomade-nuit-degypte.png","404"
